product_id,product_name,brand_id,category_id,size_value,size_unit
PRDbb6a0428,Natural Usmanthus Orchid Shampoo Bar For Hair Loss & Dandruff,BRD595a9e29,CAT4f1e3d60,120.0,g
PRDa5b0918f,Professor Curl Mini Solid Shampoo - For Curly Hair - - Ethique,BRDdb42d783,CAT4f1e3d60,15.0,g
PRD1558042d,"Solid Shampoo Bar & Conditioner Bar Set For Curly, Wavy, Coily And",BRD0630498e,CAT4f1e3d60,,
PRD8d50c1ae,Rosenrot Festes Shampoo Kornblume-Zitrone,BRDc7e44ca0,CAT4f1e3d60,,
PRDe3dd11df,"Nature Green Soap Shampoo Bar, Grass & Nature Seven Green Soap Solid Shampoo, Gentle Hair Cleansing & Strengthening for Women and Men",BRD21cbbc14,CAT4f1e3d60,,
PRD66897874,Creamy Coconut Solid Conditioner Bar,BRD5f931704,CAT5a93da1d,,
PRD20070deb,Friendly Soap Conditioner Bar Lavender and Geranium,BRD6003a530,CAT5a93da1d,90.0,g
PRDdc9cb5c8,The Natural Spa Conditioner Bar Pure - Scent Free,BRD7e2e7631,CAT5a93da1d,,
PRD54737dde,Vegan Conditioner Bars - - Plastic Free - Eco Friendly - 4 Scents,BRDa37efa11,CAT5a93da1d,55.0,g
PRD50cf4790,Kinkind Kinkind Nourish Me Conditioner Bar,BRD8e07cd25,CAT5a93da1d,40.0,g
PRDc3647fd8,CONDITIONER BAR LAVENDER - PURC CONDITIONER BAR LAVENDER CRUELTY FREE VEGAN CONDITIONER BAR,BRD9c9e2256,CAT5a93da1d,,
PRDe4a75ca8,Hairy Jayne Solid Conditioner Bar,BRDe2176146,CAT5a93da1d,,
PRD42eff841,Conditioner bar - The Green Turtle Coconut,BRD1c6763b0,CAT5a93da1d,,
PRD2842dc94,"Solid Conditioner Bar, Lemon",BRD2bed99ab,CAT5a93da1d,,
PRDe2369596,Custom Conditioner Bar – Choose Hair Type & Scent | Plastic-Free Eco-Friendly Hair Care,BRD3d313dff,CAT5a93da1d,,
PRDceb86729,Natural Hair Conditioning Bar – Lemongrass,BRD64b88302,CAT5a93da1d,,
PRDd0ea663c,Energising and Renew Conditioner Bar | Ita’s Natural Essentials,BRD37daec5a,CAT5a93da1d,,
PRDbbfa6830,Stimulating (Cedarwood & Clary Sage) Natural Conditioner Bar - Pure Anada,BRDba3c4ec3,CAT5a93da1d,,
PRDba2321ba,Charlotte Meentzen Glow Essence 2-Phasen Serum,BRD91810e2b,CAT722a51fb,,
PRD004e547d,Murad Vita-C Brightening Serum,BRD5e364f27,CAT722a51fb,10.0,ml
PRD355c5068,DATSIT - Organic Body Butter | Unrefined | Handmade | Vegan | Cruelty Free | No Preservatives | No Artificial Ingredients | UNSCENTED - (),BRD590798af,CAT73647004,50.0,ml
PRDfc62bf90,Sol De Janeiro Delicia Drench Body Butter,BRDcc92cd4f,CAT73647004,25.0,ml
PRDeb51d39a,"Organic Shea Butter, Raw & Unrefined Shea Butters for Body, Face & Hair, Pure Shea Butter with vitamins A, E & F, Long-Lasting Hydration for Dry Skin",BRD100113f1,CAT73647004,,
PRD32ce8e3a,Hype Miami Glam Whipped Body Butter .,BRDd87cdde0,CAT73647004,8.0,oz
PRD1de0bf82,Sanoll Körperbutter Shea-Vanille,BRD1364029c,CAT73647004,,
PRDac475e24,The Body Shop Body Butter Satsuma Ideal Gifts/xmas /bday,BRD255ab7ee,CAT73647004,50.0,ml
PRDaceafe87,Sol De Janeiro Delicia Drench Body Butter Travel Size Unopened,BRDcc92cd4f,CAT73647004,25.0,ml
