date_key,full_date,year,quarter,month,month_name,week,day_of_month,day_of_week,day_name,is_weekend,year_month,year_quarter
20251008,2025-10-08,2025,4,10,October,41,8,3,Wednesday,0,2025-10,2025-Q4
20251009,2025-10-09,2025,4,10,October,41,9,4,Thursday,0,2025-10,2025-Q4
20251010,2025-10-10,2025,4,10,October,41,10,5,Friday,0,2025-10,2025-Q4
20251011,2025-10-11,2025,4,10,October,41,11,6,Saturday,1,2025-10,2025-Q4
20251012,2025-10-12,2025,4,10,October,42,12,7,Sunday,1,2025-10,2025-Q4
20251013,2025-10-13,2025,4,10,October,42,13,1,Monday,0,2025-10,2025-Q4
20251014,2025-10-14,2025,4,10,October,42,14,2,Tuesday,0,2025-10,2025-Q4
20251015,2025-10-15,2025,4,10,October,42,15,3,Wednesday,0,2025-10,2025-Q4
20251016,2025-10-16,2025,4,10,October,42,16,4,Thursday,0,2025-10,2025-Q4
20251017,2025-10-17,2025,4,10,October,42,17,5,Friday,0,2025-10,2025-Q4
20251018,2025-10-18,2025,4,10,October,42,18,6,Saturday,1,2025-10,2025-Q4
20251019,2025-10-19,2025,4,10,October,43,19,7,Sunday,1,2025-10,2025-Q4
20251020,2025-10-20,2025,4,10,October,43,20,1,Monday,0,2025-10,2025-Q4
20251021,2025-10-21,2025,4,10,October,43,21,2,Tuesday,0,2025-10,2025-Q4
20251022,2025-10-22,2025,4,10,October,43,22,3,Wednesday,0,2025-10,2025-Q4
20251023,2025-10-23,2025,4,10,October,43,23,4,Thursday,0,2025-10,2025-Q4
20251024,2025-10-24,2025,4,10,October,43,24,5,Friday,0,2025-10,2025-Q4
20251025,2025-10-25,2025,4,10,October,43,25,6,Saturday,1,2025-10,2025-Q4
20251026,2025-10-26,2025,4,10,October,44,26,7,Sunday,1,2025-10,2025-Q4
20251027,2025-10-27,2025,4,10,October,44,27,1,Monday,0,2025-10,2025-Q4
20251028,2025-10-28,2025,4,10,October,44,28,2,Tuesday,0,2025-10,2025-Q4
20251029,2025-10-29,2025,4,10,October,44,29,3,Wednesday,0,2025-10,2025-Q4
20251030,2025-10-30,2025,4,10,October,44,30,4,Thursday,0,2025-10,2025-Q4
20251031,2025-10-31,2025,4,10,October,44,31,5,Friday,0,2025-10,2025-Q4
20251101,2025-11-01,2025,4,11,November,44,1,6,Saturday,1,2025-11,2025-Q4
20251102,2025-11-02,2025,4,11,November,45,2,7,Sunday,1,2025-11,2025-Q4
20251103,2025-11-03,2025,4,11,November,45,3,1,Monday,0,2025-11,2025-Q4
20251104,2025-11-04,2025,4,11,November,45,4,2,Tuesday,0,2025-11,2025-Q4
20251105,2025-11-05,2025,4,11,November,45,5,3,Wednesday,0,2025-11,2025-Q4
20251106,2025-11-06,2025,4,11,November,45,6,4,Thursday,0,2025-11,2025-Q4
20251107,2025-11-07,2025,4,11,November,45,7,5,Friday,0,2025-11,2025-Q4
20251108,2025-11-08,2025,4,11,November,45,8,6,Saturday,1,2025-11,2025-Q4
